,"x0 = [0, 0]","x0 = [-1, -1]","x0 = [1.5, -2]","x0 = [-2,  1]"
n_iter_gradient,21,14,24,13
mean_time_per_iter_gradient,0.0003057241439819336,0.00030678969163161056,0.00024348756541376528,0.0002158482869466146
total_time_gradient,0.007124185562133789,0.0039882659912109375,0.0056002140045166016,0.002590179443359375
solução_gradient,[2.99999991 2.00000005],[-3.77931022 -3.28318592],[ 3.58442828 -1.84812646],[-2.8051181  3.1313124]
n_iter_newton,1000,1000,1000,1000
mean_time_per_iter_newton,0.0047846102714538576,0.0021582276821136477,0.0021975677013397216,0.0022300467491149904
total_time_newton,4.787610054016113,2.1582276821136475,2.2005693912506104,2.230633497238159
solução_newton,[-3.49888468e-16 -8.88178420e-16],[-1. -1.],[-1.44598765 -1.87114198],[-2.93220339  0.66949153]
valor_newton,170.0,170.0,140.66524083449605,92.94818247244596
n_iter_newton_modified,6,6,4,6
mean_time_per_iter_newton_modified,0.0013340314229329426,0.0006661415100097656,0.00100022554397583,0.0007686217625935873
total_time_newton_modified,0.008004188537597656,0.003996849060058594,0.00400090217590332,0.0046117305755615234
solução_newton_modified,[ 3.58442834 -1.84812653],[-3.77931025 -3.28318599],[ 3.58442834 -1.84812653],[-2.80511809  3.13131252]
valor_newton_modified,3.363958490795686e-23,3.773348270524079e-23,7.034523826040484e-20,1.6698548398264396e-22
n_iter_conjugate_gradient,25,20,16,22
mean_time_per_iter_conjugate_gradient,0.0003349979718526204,0.00039424394306383635,0.0002666632334391276,0.00047598566327776225
total_time_conjugate_gradient,0.009038448333740234,0.007490634918212891,0.004999399185180664,0.009995698928833008
solução_conjugate_gradient,[3.00000001 2.00000017],[-3.77931029 -3.28318598],[ 3.58442828 -1.84812669],[-2.80511809  3.13131248]
